ID,Name,State,Year,Month,Temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-057,Nevada County,California,2015,February,48.1,8.4,131,39.7
CA-059,Orange County,California,2015,February,63,8,130,55
CA-061,Placer County,California,2015,February,48.9,7.8,131,41.1
CA-063,Plumas County,California,2015,February,41.9,8,130,33.9
CA-065,Riverside County,California,2015,February,61.6,7.9,131,53.7
CA-067,Sacramento County,California,2015,February,56.3,5.5,130,50.8
CA-069,San Benito County,California,2015,February,54.4,7.5,131,46.9
CA-071,San Bernardino County,California,2015,February,59.3,8.7,131,50.6
CA-073,San Diego County,California,2015,February,59.4,8.1,130,51.3
CA-075,San Francisco County,California,2015,February,58,6.9,131,51.1
CA-077,San Joaquin County,California,2015,February,56.1,5.7,130,50.4
CA-079,San Luis Obispo County,California,2015,February,55.6,7,131,48.6
CA-081,San Mateo County,California,2015,February,56.5,6.6,131,49.9
CA-083,Santa Barbara County,California,2015,February,56,7.4,130,48.6
CA-085,Santa Clara County,California,2015,February,54.9,6.8,130,48.1
CA-087,Santa Cruz County,California,2015,February,56.3,6.9,131,49.4
CA-089,Shasta County,California,2015,February,49.6,7.9,131,41.7
CA-091,Sierra County,California,2015,February,42.8,9.2,131,33.6
CA-093,Siskiyou County,California,2015,February,43.1,7.3,130,35.8
CA-095,Solano County,California,2015,February,56.4,5.9,131,50.5
CA-097,Sonoma County,California,2015,February,55.4,6.4,131,49
CA-099,Stanislaus County,California,2015,February,55.1,5.5,130,49.6
CA-101,Sutter County,California,2015,February,56.7,6,131,50.7
CA-103,Tehama County,California,2015,February,53.1,7.7,131,45.4
CA-105,Trinity County,California,2015,February,47,7.2,131,39.8
CA-107,Tulare County,California,2015,February,49,8.2,131,40.8
CA-109,Tuolumne County,California,2015,February,46,8.7,131,37.3
CA-111,Ventura County,California,2015,February,54.2,7.5,130,46.7
CA-113,Yolo County,California,2015,February,56,5.9,130,50.1
CA-115,Yuba County,California,2015,February,55.4,6.9,131,48.5
CA-001,Alameda County,California,2015,March,59.1,7.2,130,51.9
CA-003,Alpine County,California,2015,March,41.6,8.1,129,33.5
CA-005,Amador County,California,2015,March,57.1,8.7,130,48.4
CA-007,Butte County,California,2015,March,58.2,7.9,129,50.3
CA-009,Calaveras County,California,2015,March,57.3,8.6,130,48.7
CA-011,Colusa County,California,2015,March,60.2,7.9,130,52.3
CA-013,Contra Costa County,California,2015,March,60.8,7.8,130,53
CA-015,Del Norte County,California,2015,March,50.6,7.2,130,43.4
CA-017,El Dorado County,California,2015,March,51.9,8.1,129,43.8
CA-019,Fresno County,California,2015,March,54.4,9,130,45.4
CA-021,Glenn County,California,2015,March,58.2,7.6,129,50.6
CA-023,Humboldt County,California,2015,March,52.2,6,129,46.2
CA-025,Imperial County,California,2015,March,71.6,8.5,129,63.1
CA-027,Inyo County,California,2015,March,57.7,8.2,128,49.6
CA-029,Kern County,California,2015,March,59.9,8.4,128,51.6
CA-031,Kings County,California,2015,March,63.5,8.9,130,54.6
CA-033,Lake County,California,2015,March,55.7,8,130,47.7
CA-035,Lassen County,California,2015,March,44.9,8,129,36.9
CA-037,Los Angeles County,California,2015,March,61.9,9.8,130,52.1
CA-039,Madera County,California,2015,March,54.8,8.6,130,46.2
CA-041,Marin County,California,2015,March,57.3,6.3,129,51
CA-043,Mariposa County,California,2015,March,53.7,8.5,128,45.2
CA-045,Mendocino County,California,2015,March,54.4,6.6,129,47.8
CA-047,Merced County,California,2015,March,61.6,7.9,130,53.7
CA-049,Modoc County,California,2015,March,45.1,8.7,129,36.4
CA-051,Mono County,California,2015,March,41.4,8.1,128,33.3
CA-053,Monterey County,California,2015,March,58.7,8,130,50.7
CA-055,Napa County,California,2015,March,58.6,7.5,129,51.1
CA-057,Nevada County,California,2015,March,50.7,8.2,129,42.5
CA-059,Orange County,California,2015,March,66.2,9.8,130,56.4
CA-061,Placer County,California,2015,March,51.8,7.9,129,43.9
CA-063,Plumas County,California,2015,March,45,7.4,129,37.6
CA-065,Riverside County,California,2015,March,65.9,8.4,128,57.5
CA-067,Sacramento County,California,2015,March,61.6,7.3,130,54.3
